name,page_url,stream_url,type,status,source,render,view,lat,lon,left,right,azimuth,fov,ptz,range_m,elev_m,ground_m,notes
KMOV Shiloh Memorial,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/Shiloh_Memorial_Shiloh.jpg,still_image,live,kmov_index,entity:camera.kmov_shiloh_memorial,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV 360 Hilton Ballpark West,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/360whilton.jpg,still_image,live,kmov_index,entity:camera.kmov_360_hilton_ballpark_west,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV Barnes-Jewish Siteman South County,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/South%20County.jpg,still_image,live,kmov_index,entity:camera.kmov_barnes_jewish_siteman_south_county,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV Missouri Baptist Sullivan,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/Sullivan.jpg,still_image,live,kmov_index,entity:camera.kmov_missouri_baptist_sullivan,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV Barnes-Jewish St. Peters,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/St_Peters.jpg,still_image,live,kmov_index,entity:camera.kmov_barnes_jewish_st_peters,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV Missouri Baptist Medical Center,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/Mo%20Bapt.jpg,still_image,live,kmov_index,entity:camera.kmov_missouri_baptist_medical_center,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV Eureka,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/eureka.jpg,still_image,live,kmov_index,entity:camera.kmov_eureka,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV Christian Hospital Spanish Lake,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/North%20County_Spanish%20Lake.jpg,still_image,live,kmov_index,entity:camera.kmov_christian_hospital_spanish_lake,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV Progress West Hospital OFallon,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/Ofallon_Progress_West.jpg,still_image,live,kmov_index,entity:camera.kmov_progress_west_hospital_ofallon,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV One Cardinal Way,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/WEB%20CTR%20One%20Cardinal%20Way.jpg,still_image,live,kmov_index,entity:camera.kmov_one_cardinal_way,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV Parkland Health Farmington,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/Farmington_Parkland%20Health.jpg,still_image,live,kmov_index,entity:camera.kmov_parkland_health_farmington,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV SIU Edwardsville Campus,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/SIU%20Edwardsville.jpg,still_image,live,kmov_index,entity:camera.kmov_siu_edwardsville_campus,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
