id,req_id,method,verification_statement,success_criteria,level,status_b38ad51,evidence
VER-021,SYS-002,D,Activate each tab in turn.,Exactly one view is active/rendered at a time.,System,PASS,aria-selected toggles; prior view torn down.
VER-022,SYS-003,"I,D",Compare each tab-label count to the dataset.,Label count equals cameras in that view.,System,PASS,Streams(21)/Stills(19)/Map(13) matched dataset.
VER-023,SYS-012,D,View an iframe-classified camera.,The embedded frame renders the feed.,System,PASS,wetmet/Dacast tiles rendered.
VER-024,SYS-013,D,Scroll an HLS card into the viewport.,Playback starts without a manual click.,System,PASS,Autostart observed for users; flaky only under headless automation.
VER-025,SYS-030,D,Activate a link-out card.,The source page opens in a new browsing context.,System,PASS,EarthCam/KMOV/SkyFOX link-outs open new tab.
VER-026,SYS-040,D,Open the Map view and count markers.,One marker per geolocated camera.,System,PASS,13 markers for 13 geolocated cameras.
VER-027,SYS-043,D,Hover a map marker.,A tooltip identifies the camera.,System,PASS,Tooltip shows camera name (+ current az/fov).
VER-028,SYS-045,"I,D",Observe base-map tile requests on the Map view.,Tiles load from OpenStreetMap.,System,PASS,tile.openstreetmap.org requests observed.
VER-029,SYS-047,D,Enter the Map view with multiple cameras.,Initial extent includes every geolocated camera.,System,PASS,fitBounds shows all pins across the metro.
VER-030,SYS-048,"I,D",Inspect wedge ground length and visibility at metro zoom.,Wedge ~1600 m and legible at overview zoom.,System,PASS,FOV_RADIUS_M=1600.
VER-031,SYS-060,I,Inspect runtime data retrieval.,Dataset comes from a single JSON fetch.,System,PASS,fetch('data/cameras.json').
VER-032,SYS-061,"I,D",Run the converter and diff the output.,cameras.json regenerates from the CSV source.,System,PASS,python3 data/convert.py idempotent.
VER-033,SYS-064,I,Inspect geo blocks in cameras.json.,Each has lat/lon; optional az/fov/elev_m/ground_m present where supplied.,Unit,PASS,13 geo blocks inspected.
VER-034,SYS-065,T,Exercise converter name-match and unmatched-marker paths.,Matched rows attach; unmatched render+url become map-only markers.,Unit,PASS,attached/standalone counts verified.
VER-035,SYS-066,I,Inspect the render field of every camera record.,"Each is one of {image, hls, iframe, link}.",Unit,PASS,No out-of-set render values.
VER-036,SYS-070,"A,I",Trace media request hosts.,Media loads from origin hosts; no proxy origin.,System,PASS,Requests go to pixelcaster/wetmet/gray.tv etc.
VER-037,SYS-071,I,Inspect referrer policy on media elements.,A privacy-preserving referrer policy is set where supported.,Unit,PASS,img referrerPolicy=no-referrer.
VER-038,SYS-083,D,Toggle the OS/browser light-dark preference.,Theme adapts accordingly.,System,PASS,prefers-color-scheme honored.
VER-039,SYS-084,D,Resize the viewport across breakpoints.,Card grid reflows column count.,System,PASS,auto-fill minmax grid reflows.
VER-040,SYS-092,A,Review asset path style and host-independence.,All asset paths are relative; copy-deploy is feasible.,Analysis,PASS,No absolute-origin asset URLs.
