id,category,requirement,rationale,parent,origin,verify_method,verify_status_b38ad51,priority,status,notes
SYS-045,Interface-Map,The Map view shall render base-map tiles retrieved from OpenStreetMap at runtime.,"Free tile source, no key.",STK-005,Claude (derived),"I,D",PASS,Medium,Baselined,Introduces a runtime network dependency for the map only.
SYS-046,Interface-Map,The Map view shall display attribution crediting OpenStreetMap.,OSM tile usage policy / licensing.,SYS-045,Claude (derived),I,PASS,High,Baselined,Compliance requirement.
SYS-047,Functional-Map,"On entering the Map view, the dashboard shall set the map extent to include all geolocated cameras.",Show the full set without manual zoom.,STK-005,Claude (derived),D,PASS,Low,Baselined,
SYS-048,Design-Map,The Map view shall draw each field-of-view wedge to a fixed ground length of 1600 m unless a per-camera length is specified.,Make wedges visible at metro zoom for elevated long-range cams.,SYS-041,Claude (derived),"I,D",PASS,Low,Baselined,Fixed length is a placeholder; per-camera landmark radius desired -> TBR-003 / CR-011.
SYS-050,Functional-Status,"The dashboard shall visually indicate the operational status of any camera whose status is not ""live"".",Distinguish down/limited feeds.,STK-009,User,D,PASS,Medium,Baselined,Status taxonomy semantics undefined -> TBR-006.
SYS-060,Data,The dashboard shall obtain its camera dataset from a single JSON document retrieved at runtime.,"One fetch, no build-time bundling.",STK-013; STK-014,Claude (derived),I,PASS,High,Baselined,
SYS-061,Data,The camera dataset shall be generated from a human-editable CSV source of truth by a conversion utility.,Non-developer maintenance workflow.,STK-007; STK-014,User+Claude,"I,D",PASS,High,Baselined,cameras.csv + locations.csv -> convert.py -> cameras.json.
SYS-062,Data,"The conversion utility shall derive the centerline azimuth and total field-of-view from left/right FOV-edge headings when both are provided, sweeping clockwise from left to right and handling 0/360 wraparound.",Let the stakeholder supply edge headings instead of doing trig.,STK-005,User+Claude,T,PASS,Medium,Baselined,Unit-tested (6 cases).
SYS-063,Data,"The conversion utility shall exclude any source row marked ""skip"" from the generated dataset.",Keep dead/non-camera rows out of the app while retaining them in source.,STK-007; STK-014,User+Claude,T,PASS,Medium,Baselined,
SYS-064,Data,"For each geolocated camera, the dataset shall carry latitude and longitude, and optionally azimuth, field-of-view, camera elevation (m ASL), and ground elevation (m ASL).",Capture geo + elevation for map and future viewshed.,STK-005; STK-012,User+Claude,I,PASS,Medium,Baselined,
SYS-065,Data,"The conversion utility shall associate location data to a camera by exact name match, and shall treat an unmatched location row that carries a render type and URL as a standalone map-only marker.",Decouple geo file from camera source; allow test pins.,STK-005; STK-007,Claude (derived),T,PASS,Low,Baselined,
SYS-066,Data,"Each camera record shall carry a render classification of exactly one of {image, hls, iframe, link}.",Drives which tile/player is built.,STK-003; STK-004; STK-008,Claude (derived),I,PASS,High,Baselined,
SYS-070,Interface-External,"The dashboard shall retrieve each camera's media directly from its origin server via the viewing browser, without a server-side proxy.",No backend; browser fetches feeds.,STK-013,Claude (derived),"A,I",PASS,High,Baselined,Consequence: cross-origin CORS/mixed-content constraints apply.
SYS-071,Interface-External,The dashboard shall request cross-origin media using a privacy-preserving referrer policy where the platform supports it.,Avoid leaking the dashboard URL to origins.,STK-013,Claude (derived),I,PASS,Low,Baselined,referrerpolicy=no-referrer on images.
SYS-080,Constraint-Architecture,The dashboard shall be deployable as static files with no server-side runtime and no build step.,Free static hosting; portability.,STK-002; STK-013,User+Claude,"I,D",PASS,High,Baselined,Design decision D-001 (no-build static).
SYS-081,Constraint-Architecture,The dashboard shall bundle all third-party client libraries within the deployed artifact and shall not depend on an external CDN at runtime for scripts or stylesheets.,Offline-capable; no CDN outage/CSP risk.,STK-002; STK-013,Claude (derived),I,PASS,Medium,Baselined,hls.js and Leaflet vendored. Note: OSM tiles remain a runtime dependency (SYS-045).
SYS-082,Constraint-Usability,The dashboard shall render without horizontal page overflow at viewport widths of 320 px and greater.,Usable on small phones.,STK-010,Claude (derived),T,PASS,Medium,Baselined,320 px threshold chosen by implementer -> TBD-004.
SYS-083,Constraint-Usability,The dashboard shall adapt its color scheme to the viewer's light/dark preference.,Comfort across environments.,STK-010,Claude (derived),D,PASS,Low,Baselined,
SYS-084,Constraint-Usability,The dashboard shall lay out camera cards in a grid that reflows with viewport width.,Responsive presentation.,STK-010,Claude (derived),D,PASS,Low,Baselined,
SYS-090,Deployment,The system shall be publishable via GitHub Pages served from the default branch root.,Chosen host.,STK-002,User+Claude,D,PASS,High,Baselined,
SYS-091,Deployment,A push to the default branch shall result in publication of the updated site.,Simple CD.,STK-002,Claude (derived),D,PASS,Medium,Baselined,
SYS-092,Portability,"The dashboard shall be deployable to an arbitrary static host by copying its files, using relative asset paths only.",Host on n0ssc.com or elsewhere.,STK-002,Claude (derived),A,PASS,Medium,Baselined,
SYS-100,Scope,The camera dataset shall be limited to cameras within the St. Louis metropolitan region.,Bounds the relevant set.,STK-015,User,I,N/A,Medium,Baselined,"OPEN: boundary undefined (TBD-001); dataset currently includes feeds ~80-130 km out (Cuba, Farmington). Not currently verifiable."
